slug,mid_sep,swap_best,report_hit,ign_sharp,ign_width,ign_share_span,ign_resolved
gemma-2-9b,0.0047,0.8214285714285714,0.7857142857142857,nan,nan,0.0,0.0
gemma-2-2b,0.0074,0.40714285714285714,0.0,nan,nan,0.0,0.0
qwen2.5-7b-it,0.0144,0.7894736842105263,0.14285714285714285,0.8694444444444445,0.16339817984194743,0.9648420142227137,0.8333333333333334
gpt2-small,0.0149,0.8,0.0,0.0,0.6871081790951585,0.9010522337590008,1.0
pythia-70m-deduped,0.0155,0.2288135593220339,0.0,0.2,0.2994117647058824,0.3087798275502519,0.10416666666666667
qwen3-4b,0.0383,0.8814814814814815,0.0,0.9115384615384615,0.11804066378483405,0.9758242616741531,0.9027777777777778
gpt-oss-20b,0.0574,0.4420289855072464,1.0,0.6923076923076923,0.17284834915524927,0.5231449933801369,0.13541666666666666
gemma-3-4b,0.0607,0.07142857142857142,0.0,nan,nan,0.0,0.0
gemma-3-1b,0.0774,0.014285714285714285,0.07142857142857142,nan,nan,0.0,0.0
gemma-4-e2b,0.081,nan,nan,nan,nan,0.0,0.0
qwen3-1.7b,0.082,1.0,0.0,0.7780487804878049,0.16299358988882523,0.9875356741164563,0.9490740740740741
gemma-4-e4b,0.0976,nan,nan,nan,nan,0.0,0.0
olmo-3-1025-7b,0.102,1.0,0.9285714285714286,0.3923444976076555,0.2758528893109063,0.9718850353243417,0.8708333333333333
llama3.1-8b,0.1059,0.9851851851851852,0.42857142857142855,0.8530805687203792,0.15340027137042067,0.9738054186158844,0.8791666666666667
gemma-2-27b,0.1134,0.05714285714285714,0.7142857142857143,nan,nan,0.0,0.0
gemma-3-12b,0.1137,0.1,0.5,nan,nan,0.0,0.0
qwen3.5-2b-pt,0.1143,0.9779411764705882,0.7857142857142857,0.2654320987654321,0.315034090909091,0.9701921998495511,0.84375
qwen3.5-0.8b,0.1149,0.9632352941176471,0.9285714285714286,0.0,0.46356658692185015,0.9476595264638743,0.7239583333333334
qwen3.5-4b,0.1539,1.0,0.2857142857142857,0.7539267015706806,0.177328431372549,0.9632419114799966,0.7958333333333333
qwen3.5-9b-pt,0.1586,0.9632352941176471,0.07142857142857142,0.8888888888888888,0.1537103886588171,0.9781286071307775,0.9375
qwen3-8b,0.1863,0.9925925925925926,0.0,0.9947826086956522,0.08985111956030928,0.9889956327230116,0.9982638888888888
qwen3.5-27b,0.1963,1.0,0.9285714285714286,0.9651639344262295,0.10539679671241547,0.9848164515164858,0.9682539682539683
qwen3-14b,0.2063,0.9925925925925926,0.0,0.9768211920529801,0.0861360539632541,0.9879230840428406,0.967948717948718
