slug,hf_id,params,d_model,n_layers,mid_sep,within_mid,within_early,within_late
pythia-70m-deduped,EleutherAI/pythia-70m-deduped,7.000e+07,512,5,0.0024,0.6193,0.6162,1.0000
gemma-3-270m-it,google/gemma-3-270m-it,2.700e+08,640,17,0.0021,0.8754,0.8708,0.8717
gemma-3-1b-it,google/gemma-3-1b-it,1.000e+09,1152,25,0.0001,0.7232,0.7212,0.7244
gemma-2-2b-it,google/gemma-2-2b-it,2.000e+09,2304,25,-0.0009,0.9070,0.9092,0.9083
gemma-3-4b,google/gemma-3-4b-pt,4.000e+09,2560,33,-0.0003,0.7990,0.7985,0.8009
qwen3-4b,Qwen/Qwen3-4B,4.000e+09,2560,35,-0.0006,0.6697,0.6712,0.6707
qwen2.5-7b-it,Qwen/Qwen2.5-7B-Instruct,7.000e+09,3584,27,-0.0007,0.8424,0.8439,0.8435
qwen3-8b,Qwen/Qwen3-8B,8.000e+09,4096,35,0.0000,0.7172,0.7174,0.7169
qwen3.5-9b-pt,Qwen/Qwen3.5-9B-Base,9.000e+09,4096,31,-0.0005,0.7512,0.7529,0.7513
qwen3-14b,Qwen/Qwen3-14B,1.400e+10,5120,39,0.0001,0.7295,0.7293,0.7294
gemma-3-27b,google/gemma-3-27b-pt,2.700e+10,5376,61,-0.0003,0.8797,0.8803,0.8802
