slug,hf_id,params,d_model,n_layers,mid_sep,within_mid,within_early,within_late
pythia-70m-deduped,EleutherAI/pythia-70m-deduped,7.000e+07,512,5,0.0155,0.9907,0.9865,1.0000
gpt2-small,openai-community/gpt2,1.240e+08,768,11,0.0149,0.9934,0.9907,0.9717
gemma-3-270m,google/gemma-3-270m,2.700e+08,640,17,0.1336,0.9723,0.7663,0.9847
gemma-3-270m-it,google/gemma-3-270m-it,2.700e+08,640,17,0.0247,0.9926,0.9548,0.9940
qwen3.5-0.8b,Qwen/Qwen3.5-0.8B,8.000e+08,1024,23,0.1149,0.9458,0.9467,0.9621
gemma-3-1b,google/gemma-3-1b-pt,1.000e+09,1152,25,0.0774,0.9569,0.9237,0.9887
gemma-3-1b-it,google/gemma-3-1b-it,1.000e+09,1152,25,0.0194,0.9829,0.9822,0.9892
qwen3-1.7b,Qwen/Qwen3-1.7B,1.700e+09,2048,27,0.0820,0.9909,0.9801,0.9142
gemma-2-2b,google/gemma-2-2b,2.000e+09,2304,25,0.0074,0.9978,0.9930,0.9986
gemma-2-2b-it,google/gemma-2-2b-it,2.000e+09,2304,25,0.0014,0.9992,0.9989,0.9987
gemma-4-e2b,google/gemma-4-E2B,2.000e+09,1536,34,0.0810,0.9296,0.7571,0.9826
qwen3.5-2b-pt,Qwen/Qwen3.5-2B-Base,2.000e+09,2048,23,0.1143,0.9542,0.9047,0.9640
gemma-3-4b,google/gemma-3-4b-pt,4.000e+09,2560,33,0.0607,0.9759,0.9585,0.9475
gemma-3-4b-it,google/gemma-3-4b-it,4.000e+09,2560,33,0.0126,0.9938,0.9899,0.9889
gemma-4-e4b,google/gemma-4-E4B,4.000e+09,2560,41,0.0976,0.8222,0.8267,0.9046
qwen3-4b,Qwen/Qwen3-4B,4.000e+09,2560,35,0.0383,0.9934,0.9826,0.9838
qwen3.5-4b,Qwen/Qwen3.5-4B,4.000e+09,2560,31,0.1539,0.9528,0.8263,0.9538
olmo-3-1025-7b,allenai/Olmo-3-1025-7B,7.000e+09,4096,31,0.1020,0.9146,0.9885,0.9530
qwen2.5-7b-it,Qwen/Qwen2.5-7B-Instruct,7.000e+09,3584,27,0.0144,0.9985,0.9968,0.9857
llama3.1-8b,meta-llama/Llama-3.1-8B,8.000e+09,4096,31,0.1059,0.9479,0.9459,0.9626
llama3.1-8b-it,meta-llama/Llama-3.1-8B-Instruct,8.000e+09,4096,31,0.0806,0.9554,0.9410,0.9655
qwen3-8b,Qwen/Qwen3-8B,8.000e+09,4096,35,0.1863,0.9043,0.9524,0.9400
gemma-2-9b,google/gemma-2-9b,9.000e+09,3584,41,0.0047,0.9984,0.9941,0.9986
gemma-2-9b-it,google/gemma-2-9b-it,9.000e+09,3584,41,0.0027,0.9996,0.9974,0.9991
qwen3.5-9b-pt,Qwen/Qwen3.5-9B-Base,9.000e+09,4096,31,0.1586,0.9633,0.8560,0.9673
gemma-3-12b,google/gemma-3-12b-pt,1.200e+10,3840,47,0.1137,0.9469,0.9696,0.9235
gemma-3-12b-it,google/gemma-3-12b-it,1.200e+10,3840,47,0.0299,0.9813,0.9865,0.9674
qwen3-14b,Qwen/Qwen3-14B,1.400e+10,5120,39,0.2063,0.9375,0.9478,0.9216
gpt-oss-20b,openai/gpt-oss-20b,2.000e+10,2880,23,0.0574,0.9643,0.9895,0.9002
gemma-2-27b,google/gemma-2-27b,2.700e+10,4608,45,0.1134,0.9917,0.9447,0.9664
gemma-3-27b,google/gemma-3-27b-pt,2.700e+10,5376,61,0.2977,0.9247,0.8196,0.8383
gemma-3-27b-it,google/gemma-3-27b-it,2.700e+10,5376,61,0.1039,0.9508,0.9774,0.8701
qwen3.5-27b,Qwen/Qwen3.5-27B,2.700e+10,5120,63,0.1963,0.9496,0.8789,0.9090
olmo-3-1125-32b,allenai/Olmo-3-1125-32B,3.200e+10,5120,63,0.1308,0.9471,0.9885,0.9715
llama3.3-70b-it,meta-llama/Llama-3.3-70B-Instruct,7.000e+10,8192,79,0.1372,0.8427,0.9643,0.9744
