slug,n_layers,probe,b1,b2,objective_range,n_near_optimal,spread_b1,spread_b2,identified
gemma-2-27b,45,shared,11,14,0.2413,17,0.222,0.111,1
gemma-2-27b,45,own,11,15,0.0543,4,0.000,0.067,1
gemma-2-2b-it,25,shared,2,12,0.0028,6,0.000,0.400,0
gemma-2-2b-it,25,own,2,4,0.0023,2,0.000,0.040,1
gemma-2-2b,25,shared,2,7,0.0066,1,0.000,0.000,1
gemma-2-2b,25,own,2,4,0.0082,4,0.000,0.120,1
gemma-2-9b-it,41,shared,5,27,0.0032,18,0.024,0.415,0
gemma-2-9b-it,41,own,5,15,0.0017,18,0.073,0.463,0
gemma-2-9b,41,shared,5,17,0.0061,16,0.000,0.415,0
gemma-2-9b,41,own,5,19,0.0036,21,0.024,0.463,0
gemma-3-12b-it,47,shared,5,27,0.0472,12,0.043,0.234,1
gemma-3-12b-it,47,own,17,27,0.0003,6,0.277,0.043,0
gemma-3-12b,47,shared,5,17,0.1658,15,0.319,0.255,0
gemma-3-12b,47,own,13,17,0.0009,8,0.319,0.234,0
gemma-3-1b-it,25,shared,4,8,0.0412,3,0.000,0.080,1
gemma-3-1b-it,25,own,4,8,0.0199,5,0.000,0.440,0
gemma-3-1b,25,shared,6,10,0.0759,3,0.080,0.000,1
gemma-3-1b,25,own,6,10,0.0139,3,0.080,0.040,1
gemma-3-270m-it,17,shared,3,15,0.0796,7,0.000,0.588,0
gemma-3-270m-it,17,own,3,14,0.0037,2,0.000,0.471,0
gemma-3-270m,17,shared,3,15,0.4163,6,0.000,0.588,0
gemma-3-270m,17,own,3,15,0.0315,9,0.000,0.588,0
gemma-3-27b-it,61,shared,11,27,0.3029,121,0.443,0.180,0
gemma-3-27b-it,61,own,2,4,0.0520,405,0.443,0.459,0
gemma-3-27b,61,shared,12,17,0.4658,12,0.033,0.131,1
gemma-3-27b,61,own,6,10,0.0847,134,0.197,0.393,0
gemma-3-4b-it,33,shared,3,30,0.0133,6,0.000,0.697,0
gemma-3-4b-it,33,own,3,31,0.0166,8,0.000,0.697,0
gemma-3-4b,33,shared,6,10,0.0856,3,0.000,0.061,1
gemma-3-4b,33,own,6,10,0.0781,3,0.000,0.061,1
gemma-4-e2b,34,shared,2,32,0.3957,23,0.824,0.147,0
gemma-4-e2b,34,own,2,32,0.2983,27,0.824,0.147,0
gemma-4-e4b,41,shared,2,5,0.5443,14,0.098,0.854,0
gemma-4-e4b,41,own,2,5,0.1747,4,0.024,0.049,1
gpt-oss-20b,23,shared,5,7,0.0930,15,0.217,0.261,0
gpt-oss-20b,23,own,7,9,0.1497,10,0.130,0.174,1
gpt2-small,11,shared,2,4,0.0237,3,0.182,0.182,1
gpt2-small,11,own,2,4,0.0302,3,0.182,0.182,1
llama3.1-8b-it,31,shared,4,17,0.0923,4,0.000,0.097,1
llama3.1-8b-it,31,own,4,17,0.0903,5,0.000,0.129,1
llama3.1-8b,31,shared,13,17,0.1060,7,0.129,0.129,1
llama3.1-8b,31,own,4,17,0.0974,6,0.000,0.161,1
llama3.3-70b-it,79,shared,37,51,0.2166,44,0.430,0.241,0
llama3.3-70b-it,79,own,37,51,0.1916,28,0.025,0.152,1
olmo-3-1025-7b,31,shared,15,18,0.1528,3,0.065,0.000,1
olmo-3-1025-7b,31,own,9,18,0.1001,15,0.419,0.032,0
olmo-3-1125-32b,63,shared,25,39,0.1733,34,0.048,0.159,1
olmo-3-1125-32b,63,own,25,39,0.1290,32,0.079,0.095,1
qwen2.5-7b-it,27,shared,2,4,0.0314,10,0.148,0.185,1
qwen2.5-7b-it,27,own,4,6,0.0064,15,0.185,0.185,1
qwen3-1.7b,27,shared,3,5,0.2071,19,0.519,0.519,0
qwen3-1.7b,27,own,3,5,0.2754,7,0.000,0.222,1
qwen3-14b,39,shared,25,28,0.1601,26,0.564,0.103,0
qwen3-14b,39,own,7,26,0.1590,21,0.128,0.077,1
qwen3-4b,35,shared,3,23,0.0395,5,0.029,0.057,1
qwen3-4b,35,own,3,24,0.0660,10,0.029,0.143,1
qwen3-8b,35,shared,19,22,0.1520,7,0.457,0.029,0
qwen3-8b,35,own,8,22,0.1261,15,0.600,0.143,0
qwen3.5-0.8b,23,shared,2,15,0.0709,5,0.217,0.043,1
qwen3.5-0.8b,23,own,7,15,0.0882,4,0.130,0.000,1
qwen3.5-27b,63,shared,14,51,0.1018,15,0.048,0.048,1
qwen3.5-27b,63,own,14,51,0.1819,16,0.048,0.079,1
qwen3.5-2b-pt,23,shared,2,15,0.0802,2,0.000,0.043,1
qwen3.5-2b-pt,23,own,2,15,0.0965,2,0.000,0.043,1
qwen3.5-4b,31,shared,3,21,0.1854,7,0.000,0.194,1
qwen3.5-4b,31,own,3,21,0.2079,6,0.000,0.161,1
qwen3.5-9b-pt,31,shared,3,21,0.1560,6,0.000,0.161,1
qwen3.5-9b-pt,31,own,3,21,0.1391,4,0.000,0.097,1
qwen35-397b-own,59,shared,17,44,0.2597,24,0.085,0.068,1
qwen35-397b-own,59,own,13,46,0.2620,16,0.068,0.051,1
