slug,family,n_shared,mid_sep,fitted_sep
gemma-2-2b-it,gemma,4096,0.0014,0.002
gemma-2-2b,gemma,4096,0.0074,0.0134
gemma-2-9b-it,gemma,4096,0.0027,0.0041
gemma-2-9b,gemma,4096,0.0047,0.0074
gemma-3-1b-it,gemma,4096,0.0194,0.0224
gemma-3-1b,gemma,4096,0.0774,0.1446
gemma-3-270m-it,gemma,4096,0.0247,0.0451
gemma-3-270m,gemma,4096,0.1336,0.2267
gemma-3-4b-it,gemma,4096,0.0126,0.0168
gemma-2-27b,gemma,4096,0.1134,0.2113
gemma-3-4b,gemma,4096,0.0607,0.0858
gemma-3-12b-it,gemma,4096,0.0299,0.0509
gemma-3-12b,gemma,4096,0.1137,0.162
gemma-3-27b-it,gemma,4096,0.1039,0.1256
gemma-3-27b,gemma,4096,0.2977,0.4062
gemma-4-e2b,gemma,4096,0.081,-0.0182
gemma-4-e4b,gemma,4096,0.0976,0.1728
gpt-oss-20b,other,4096,0.0574,0.0511
gpt2-small,other,4096,0.0149,0.003
llama3.1-8b-it,llama,4096,0.0806,0.156
llama3.1-8b,llama,4096,0.1059,0.1914
