slug,hf_id,d_model,n_layers,mid_sep,fitted_sep,seg_b1,seg_b2,pr_over_d_median,n_shared,seconds
gpt2-small,openai-community/gpt2,768,11,0.015,0.0014,2,4,0.00208,4096,22.1
pythia-70m-deduped,EleutherAI/pythia-70m-deduped,512,5,0.0151,0.0212,1,2,0.0171,4096,13.0
gemma-3-270m,google/gemma-3-270m,640,17,0.01,0.0173,3,15,0.00216,4096,34.9
gemma-3-270m-it,google/gemma-3-270m-it,640,17,0.0018,0.0024,3,14,0.00168,4096,30.4
qwen3.5-0.8b,Qwen/Qwen3.5-0.8B,1024,23,0.1456,0.2304,7,15,0.04142,4096,101.7
gemma-3-1b,google/gemma-3-1b-pt,1152,25,0.0155,0.0309,6,10,0.00317,4096,158.6
gemma-3-1b-it,google/gemma-3-1b-it,1152,25,0.012,0.0194,4,8,0.00269,4096,154.5
qwen3-1.7b,Qwen/Qwen3-1.7B,2048,27,0.0758,0.0414,3,5,0.00212,4096,472.0
gemma-2-2b,google/gemma-2-2b,2304,25,0.0065,0.0113,2,4,0.00055,4096,605.8
gemma-2-2b-it,google/gemma-2-2b-it,2304,25,0.0014,0.002,2,4,0.00048,4096,580.7
gemma-4-e2b,google/gemma-4-E2B,1536,34,0.0468,-0.0109,2,32,0.00196,4096,454.4
qwen3.5-2b-pt,Qwen/Qwen3.5-2B-Base,2048,23,0.1473,0.2392,2,15,0.01013,4096,413.1
gemma-3-4b,google/gemma-3-4b-pt,2560,33,0.0455,0.0641,6,10,0.00381,4096,880.0
gemma-3-4b-it,google/gemma-3-4b-it,2560,33,0.0146,0.0321,3,31,0.00098,4096,979.6
qwen3-4b,Qwen/Qwen3-4B,2560,35,0.0559,0.0718,3,24,0.00093,4096,954.0
gemma-4-e4b,google/gemma-4-E4B,2560,41,0.0495,0.1257,2,5,0.00093,4096,750.2
qwen3.5-4b,Qwen/Qwen3.5-4B,2560,31,0.2028,0.3001,3,21,0.00947,4096,580.6
olmo-3-1025-7b,allenai/Olmo-3-1025-7B,4096,31,0.0761,0.1507,9,18,0.00043,4096,1184.0
qwen2.5-7b-it,Qwen/Qwen2.5-7B-Instruct,3584,27,0.0029,0.002,4,6,0.00031,4096,758.0
llama3.1-8b,meta-llama/Llama-3.1-8B,4096,31,0.087,0.1433,4,17,0.00239,4096,1181.2
llama3.1-8b-it,meta-llama/Llama-3.1-8B-Instruct,4096,31,0.0786,0.1226,4,17,0.00159,4096,1195.3
qwen3-8b,Qwen/Qwen3-8B,4096,35,0.1796,0.2527,8,22,0.00187,4096,1472.7
gemma-2-9b,google/gemma-2-9b,3584,41,0.0019,0.0036,5,19,0.00034,4096,1597.1
gemma-2-9b-it,google/gemma-2-9b-it,3584,41,0.001,0.0016,5,15,0.00031,4096,1601.9
qwen3.5-9b-pt,Qwen/Qwen3.5-9B-Base,4096,31,0.1503,0.2087,3,21,0.00224,4096,1186.4
gemma-3-12b,google/gemma-3-12b-pt,3840,47,0.0007,0.0013,13,17,0.00028,4096,2207.8
gemma-3-12b-it,google/gemma-3-12b-it,3840,47,0.0002,0.0003,17,27,0.00027,4096,2209.4
qwen3-14b,Qwen/Qwen3-14B,5120,39,0.2114,0.2823,7,26,0.00373,4096,2420.7
gpt-oss-20b,openai/gpt-oss-20b,2880,23,0.0756,0.0921,7,9,0.0007,4096,355.7
gemma-2-27b,google/gemma-2-27b,4608,45,0.0429,0.0892,11,15,0.0003,4096,2746.7
gemma-3-27b,google/gemma-3-27b-pt,5376,61,0.0248,0.0281,6,10,0.0004,4096,6071.1
gemma-3-27b-it,google/gemma-3-27b-it,5376,61,0.009,-0.0024,2,4,0.0004,4096,6075.2
qwen3.5-27b,Qwen/Qwen3.5-27B,5120,63,0.1967,0.2523,14,51,0.00081,4096,6209.0
olmo-3-1125-32b,allenai/Olmo-3-1125-32B,5120,63,0.0939,0.1874,25,39,0.00058,4096,6160.0
llama3.3-70b-it,meta-llama/Llama-3.3-70B-Instruct,8192,79,0.1478,0.3791,37,51,0.00537,4096,21776.9
qwen35-397b-own,Qwen/Qwen3.5-397B-A17B,4096,59,0.3434,0.4065,13,46,0.00773,4096,3908.6
